dt,sensor,lux,con,spl
2016-06-24 04:00:00,sensor_0,3439.625,2784.95875,72.9633672345
2016-06-24 04:00:00,sensor_2,3523.25,2491.0175,73.8232833162
2016-06-24 04:00:00,sensor_3,656.375,2163.055,78.3293047733
2016-06-24 04:00:00,sensor_4,3318.625,3159.51625,71.7113717739
2016-06-24 08:00:00,sensor_0,16731.625,2918.5975,76.686730219
2016-06-24 08:00:00,sensor_2,13909.875,2407.0975,75.0551894373
2016-06-24 08:00:00,sensor_3,1950.375,2867.7825,79.8436987211
2016-06-24 08:00:00,sensor_4,4651.75,2734.2375,74.3830291746
2016-06-24 12:00:00,sensor_0,5454.875,4268.22375,85.8490870111
2016-06-24 12:00:00,sensor_2,5473.0,2371.1425,76.7874239142
2016-06-24 12:00:00,sensor_3,3831.875,4316.285,81.0824847055
2016-06-24 12:00:00,sensor_4,20026.25,2768.5175,83.6089665848
2016-06-24 16:00:00,sensor_0,17326.25,3416.27875,78.7357819882
2016-06-24 16:00:00,sensor_2,3505.75,2462.61375,74.6180685193
2016-06-24 16:00:00,sensor_3,3739.0,2344.2025,80.2236797374
2016-06-24 16:00:00,sensor_4,9883.75,3414.48875,79.0303669638
2016-06-24 20:00:00,sensor_0,157.625,3353.78875,74.5265787744
2016-06-24 20:00:00,sensor_2,107.75,1952.50375,73.8567131969
2016-06-24 20:00:00,sensor_3,75.25,2174.03625,80.1116691462
2016-06-24 20:00:00,sensor_4,230.375,2803.53875,70.6518433665
2016-06-25 00:00:00,sensor_0,0.0,2836.56,68.4031860681
2016-06-25 00:00:00,sensor_2,0.0,2298.47875,70.5338209252
2016-06-25 00:00:00,sensor_3,0.0,1865.41,74.7766045554
2016-06-25 00:00:00,sensor_4,0.0,2483.3125,69.4406804435
2016-06-25 04:00:00,sensor_0,3082.375,3017.26,67.9794000867
2016-06-25 04:00:00,sensor_2,3280.5,2461.28,69.7617283356
2016-06-25 04:00:00,sensor_3,559.875,1827.17375,75.8045097265
2016-06-25 04:00:00,sensor_4,2585.25,2603.505,69.9802485721
2016-06-25 08:00:00,sensor_0,21034.75,3158.91375,76.5258758139
2016-06-25 08:00:00,sensor_2,13452.875,3083.4825,73.923615289
2016-06-25 08:00:00,sensor_3,1721.625,2762.3425,80.5316612383
2016-06-25 08:00:00,sensor_4,4761.375,2954.9075,72.2628809383
2016-06-25 12:00:00,sensor_0,23035.125,2709.1875,78.4152330795
2016-06-25 12:00:00,sensor_2,7054.875,2321.385,75.4541740246
2016-06-25 12:00:00,sensor_3,4172.625,1965.17625,78.3318527539
2016-06-25 12:00:00,sensor_4,24547.375,2692.8725,74.6887603978
2016-06-25 16:00:00,sensor_0,15936.375,2236.9425,79.6886146769
2016-06-25 16:00:00,sensor_2,2374.5,1699.17125,71.4839952134
2016-06-25 16:00:00,sensor_3,2930.75,1854.05875,81.4574676105
2016-06-25 16:00:00,sensor_4,7233.875,2080.6975,75.0842580787
2016-06-25 20:00:00,sensor_0,175.125,2594.2475,75.0230504489
2016-06-25 20:00:00,sensor_2,114.625,1729.84125,71.9179373471
2016-06-25 20:00:00,sensor_3,76.0,1937.2375,82.1235280814
2016-06-25 20:00:00,sensor_4,246.75,2156.935,70.4882500544
2016-06-26 00:00:00,sensor_0,0.0,2156.685,69.5630250077
2016-06-26 00:00:00,sensor_2,0.0,1658.82,72.1921829608
2016-06-26 00:00:00,sensor_3,0.0,1819.09875,78.1948897752
2016-06-26 00:00:00,sensor_4,0.0,2307.68,69.9807785101
2016-06-26 04:00:00,sensor_0,3491.625,2129.61875,67.7594924007
2016-06-26 04:00:00,sensor_2,3575.25,2105.245,68.8969869425
2016-06-26 04:00:00,sensor_3,636.75,1876.6825,72.6256654487
2016-06-26 04:00:00,sensor_4,3420.0,2522.09,69.6244700474
2016-06-26 08:00:00,sensor_0,17494.5,2355.6325,71.5012252678
2016-06-26 08:00:00,sensor_2,14483.5,2513.52375,73.1800659678
2016-06-26 08:00:00,sensor_3,2731.875,2365.8,74.8756905627
2016-06-26 08:00:00,sensor_4,4504.375,2728.635,71.2735446851
